shipment_id,date,region,transport_mode,product_category,distance_km,shipment_volume_units,weight_kg,delivery_time_days,estimated_delivery_days,delay_days,transport_cost,on_time
S00266,2026-02-01,North,Air,Electronics,396.9,16.5,29.3,2.32,2.48,-0.16,319.56,1
S00267,2026-09-01,South,Road,Furniture,221.3,16.2,26.8,5.21,4.52,0.69,281.81,0
S00268,2026-01-01,North,Sea,Grocery,246.0,14.4,20.0,4.5,5.95,-1.46,88.15,1
S00269,2026-04-01,North,Road,Furniture,850.0,6.9,12.3,3.88,5.4,-1.52,247.0,1
S00270,2026-09-01,North,Road,Industrial,543.6,25.8,36.4,3.89,4.33,-0.44,340.76,1
S00271,2026-07-01,North,Sea,Grocery,329.9,23.3,20.4,5.46,6.43,-0.98,205.31,1
S00272,2026-10-01,North,Road,Grocery,181.3,34.9,43.3,3.69,4.45,-0.75,335.55,1
S00273,2026-07-01,North,Road,Furniture,248.1,14.2,7.3,2.6,4.11,-1.5,182.72,1
S00274,2026-11-01,East,Rail,Industrial,105.1,68.9,48.9,5.42,5.14,0.28,432.87,0
S00275,2026-07-01,West,Road,Industrial,455.5,15.7,15.4,3.99,5.56,-1.57,224.58,1
S00276,2026-01-01,South,Road,Electronics,238.4,11.4,7.8,3.37,5.46,-2.09,151.62,1
S00277,2026-01-01,South,Road,Grocery,478.9,10.5,18.3,4.45,6.13,-1.68,198.12,1
S00278,2026-10-01,East,Road,Electronics,622.3,6.5,11.7,6.27,4.33,1.95,229.55,0
S00279,2026-01-01,Central,Air,Industrial,483.3,54.4,50.0,2.28,3.02,-0.75,481.76,1
S00280,2026-05-01,Central,Rail,Furniture,302.7,49.0,68.2,3.47,5.3,-1.83,408.67,1
S00281,2026-01-01,North,Road,Apparel,213.1,29.7,28.8,4.65,3.99,0.66,286.39,0
S00282,2026-04-01,South,Road,Electronics,161.6,11.2,6.7,6.93,4.97,1.96,193.05,0
S00283,2026-08-01,South,Road,Apparel,800.7,65.2,56.8,6.29,7.1,-0.81,510.6,1
S00284,2026-03-01,South,Rail,Furniture,470.0,16.0,11.6,7.45,6.65,0.8,143.6,0
S00285,2026-06-01,East,Sea,Electronics,314.7,16.9,14.5,6.97,7.13,-0.16,182.09,1
S00286,2026-12-01,South,Sea,Electronics,572.2,51.1,35.8,6.23,8.25,-2.02,474.73,1
S00287,2026-01-01,North,Road,Industrial,724.1,30.8,17.2,4.94,5.55,-0.61,396.25,1
S00288,2026-01-01,South,Road,Furniture,242.0,84.0,59.2,2.87,5.07,-2.2,516.48,1
S00289,2026-04-01,East,Road,Electronics,461.0,23.6,39.4,4.22,3.76,0.47,303.62,0
S00290,2026-10-01,North,Rail,Apparel,467.0,15.5,8.1,4.21,5.53,-1.32,223.45,1
S00291,2026-05-01,Central,Road,Industrial,904.7,13.5,11.5,4.71,5.24,-0.53,254.33,1
S00292,2026-08-01,North,Rail,Furniture,311.7,6.0,6.9,3.63,5.38,-1.75,185.1,1
S00293,2026-01-01,Central,Rail,Grocery,207.4,16.8,15.0,3.72,4.85,-1.14,173.97,1
S00294,2026-09-01,North,Road,Apparel,493.9,42.3,47.5,4.94,5.32,-0.38,381.57,1
S00295,2026-01-01,Central,Road,Apparel,601.8,29.6,13.7,4.22,5.77,-1.55,322.8,1
S00296,2026-09-01,Central,Road,Electronics,437.1,20.4,26.6,1.58,4.6,-3.02,300.28,1
S00297,2026-02-01,Central,Road,Furniture,941.9,10.5,12.5,4.38,7.16,-2.77,269.83,1
S00298,2026-11-01,West,Road,Electronics,311.0,23.3,31.5,2.46,5.18,-2.72,194.61,1
S00299,2026-04-01,West,Rail,Electronics,444.1,38.8,46.3,5.84,5.58,0.26,340.19,0
S00300,2026-03-01,West,Road,Furniture,129.7,26.6,26.9,4.49,4.28,0.21,161.59,0
S00301,2026-05-01,West,Road,Industrial,199.0,22.4,19.9,4.37,4.57,-0.19,210.95,1
S00302,2026-01-01,North,Rail,Furniture,243.1,12.0,8.6,3.39,5.37,-1.98,198.94,1
S00303,2026-02-01,East,Air,Grocery,346.9,35.3,38.8,2.87,2.79,0.08,390.61,0
S00304,2026-08-01,East,Road,Grocery,147.2,5.0,2.2,3.02,4.16,-1.14,157.12,1
S00305,2026-04-01,Central,Air,Apparel,567.2,25.8,22.1,1.25,3.3,-2.04,408.02,1
S00306,2026-05-01,East,Sea,Apparel,227.8,106.8,144.0,6.36,5.91,0.45,761.32,0
S00307,2026-10-01,South,Rail,Grocery,1310.8,7.5,4.2,9.26,9.35,-0.08,232.73,1
S00308,2026-02-01,West,Rail,Apparel,233.7,17.2,8.4,6.14,5.97,0.17,193.56,0
S00309,2026-05-01,South,Road,Grocery,414.9,20.0,26.2,4.19,6.24,-2.04,238.95,1
S00310,2026-03-01,North,Sea,Industrial,381.8,14.9,14.2,7.03,6.09,0.94,211.99,0
S00311,2026-06-01,East,Road,Industrial,186.5,39.4,60.0,3.1,5.02,-1.92,323.68,1
S00312,2026-04-01,South,Sea,Electronics,347.8,27.3,46.8,7.18,6.38,0.8,316.27,0
S00313,2026-01-01,South,Rail,Apparel,345.0,22.2,38.6,4.92,5.56,-0.64,218.65,1
S00314,2026-01-01,South,Road,Electronics,676.3,33.7,33.6,5.4,5.77,-0.37,417.93,1
S00315,2026-11-01,South,Road,Apparel,505.6,20.3,15.6,2.18,5.91,-3.73,284.87,1
S00316,2026-01-01,South,Rail,Apparel,562.1,158.7,198.7,5.78,7.46,-1.68,994.68,1
S00317,2026-10-01,South,Rail,Electronics,667.3,22.2,28.4,6.57,6.85,-0.29,284.45,1
S00318,2026-11-01,West,Road,Furniture,567.7,22.8,29.0,4.56,5.54,-0.97,305.69,1
S00319,2026-06-01,South,Air,Grocery,458.6,6.6,5.6,5.67,4.07,1.6,264.98,0
S00320,2026-04-01,Central,Air,Industrial,241.5,14.1,6.9,0.7,2.76,-2.06,209.67,1
S00321,2026-10-01,Central,Road,Electronics,440.1,42.3,29.4,3.22,4.38,-1.17,337.24,1
S00322,2026-12-01,East,Road,Electronics,209.9,8.4,5.2,2.65,4.22,-1.56,137.89,1
S00323,2026-02-01,South,Road,Apparel,365.6,5.0,2.9,4.11,4.84,-0.73,101.55,1
S00324,2026-12-01,East,Air,Electronics,334.7,20.5,34.8,3.82,2.94,0.88,326.31,0
S00325,2026-12-01,Central,Road,Apparel,349.1,49.0,20.5,5.52,4.96,0.56,325.31,0
S00326,2026-02-01,West,Air,Industrial,148.4,20.6,25.7,1.44,3.06,-1.62,222.62,1
S00327,2026-01-01,West,Road,Electronics,30.0,16.1,27.9,2.68,3.91,-1.23,191.63,1
S00328,2026-09-01,East,Rail,Electronics,294.3,6.0,5.4,3.37,6.14,-2.76,163.3,1
S00329,2026-01-01,West,Road,Grocery,763.3,26.9,30.7,7.25,6.03,1.23,289.55,0
S00330,2026-08-01,South,Road,Grocery,411.0,30.9,42.4,6.34,6.35,-0.01,311.5,1
S00331,2026-01-01,West,Air,Grocery,730.0,6.3,5.3,3.8,5.33,-1.53,354.98,1
S00332,2026-09-01,South,Road,Apparel,210.9,42.0,44.9,2.64,5.11,-2.47,332.4,1
S00333,2026-03-01,West,Road,Industrial,284.4,33.0,51.0,2.66,4.24,-1.58,355.16,1
S00334,2026-02-01,Central,Sea,Electronics,1357.6,41.9,60.5,8.28,9.92,-1.63,385.28,1
S00335,2026-01-01,North,Sea,Apparel,220.3,29.3,45.0,5.8,6.01,-0.21,181.92,1
S00336,2026-03-01,West,Air,Furniture,555.3,30.7,54.8,0.86,3.98,-3.12,457.57,1
S00337,2026-07-01,North,Road,Industrial,554.7,28.2,25.9,4.04,5.62,-1.58,297.26,1
S00338,2026-01-01,West,Rail,Apparel,517.4,35.3,51.1,7.76,6.79,0.97,263.45,0
S00339,2026-10-01,North,Air,Grocery,559.6,6.2,7.7,2.58,4.21,-1.63,279.24,1
S00340,2026-08-01,Central,Road,Electronics,218.0,7.6,10.1,5.17,3.67,1.49,193.95,0
S00341,2026-04-01,North,Road,Electronics,304.0,12.4,17.9,4.56,4.6,-0.05,149.94,1
S00342,2026-12-01,Central,Air,Electronics,36.1,18.5,26.8,0.7,1.5,-0.8,266.59,1
S00343,2026-08-01,West,Road,Furniture,922.9,25.8,42.4,5.7,7.1,-1.4,354.92,1
S00344,2026-09-01,East,Rail,Apparel,557.6,24.8,22.1,5.39,6.24,-0.85,263.43,1
S00345,2026-03-01,West,Sea,Furniture,243.3,41.5,54.6,4.59,6.62,-2.03,274.81,1
S00346,2026-09-01,West,Rail,Electronics,212.6,42.4,33.6,3.68,5.52,-1.84,311.04,1
S00347,2026-07-01,Central,Road,Industrial,771.3,11.4,14.0,6.73,5.42,1.31,265.94,0
S00348,2026-12-01,South,Road,Industrial,231.2,23.5,34.0,3.22,4.71,-1.49,190.56,1
S00349,2026-06-01,East,Road,Electronics,242.7,11.6,17.4,5.22,4.97,0.25,277.77,0
S00350,2026-09-01,North,Road,Electronics,180.5,17.8,17.6,2.86,4.85,-1.99,178.3,1
S00351,2026-05-01,West,Air,Electronics,623.2,24.8,27.5,3.6,4.05,-0.45,386.69,1
S00352,2026-01-01,North,Air,Industrial,723.5,5.0,4.3,4.01,4.29,-0.27,364.08,1
S00353,2026-02-01,East,Road,Apparel,336.0,96.3,61.3,3.39,5.05,-1.66,673.24,1
S00354,2026-11-01,East,Road,Grocery,726.3,29.0,22.2,5.93,5.92,0.01,387.43,0
S00355,2026-09-01,East,Air,Apparel,490.2,13.6,22.9,0.7,2.9,-2.2,265.3,1
S00356,2026-05-01,East,Road,Furniture,172.3,70.3,58.5,4.23,3.73,0.5,468.75,0
S00357,2026-09-01,West,Road,Grocery,883.1,16.0,28.3,2.87,6.26,-3.4,256.44,1
S00358,2026-01-01,West,Road,Grocery,179.1,21.9,16.2,3.71,3.63,0.09,244.43,0
S00359,2026-01-01,East,Rail,Industrial,352.6,14.6,20.7,6.05,6.38,-0.34,133.47,1
S00360,2026-07-01,East,Road,Electronics,336.7,58.8,70.7,4.91,5.02,-0.11,420.06,1
S00361,2026-08-01,Central,Rail,Industrial,297.6,18.8,25.8,2.7,5.01,-2.31,206.88,1
S00362,2026-12-01,North,Road,Electronics,77.3,22.1,28.8,1.65,2.72,-1.07,220.71,1
S00363,2026-10-01,North,Rail,Grocery,1193.0,43.9,61.0,6.15,6.8,-0.65,437.44,1
S00364,2026-04-01,North,Road,Industrial,87.4,29.4,49.0,3.38,3.84,-0.47,307.87,1
S00365,2026-10-01,West,Road,Furniture,916.3,19.4,23.1,3.51,7.73,-4.23,364.77,1
S00366,2026-06-01,South,Road,Furniture,207.3,41.3,20.5,4.36,4.73,-0.37,331.24,1
S00367,2026-10-01,West,Road,Apparel,259.7,104.6,81.5,4.61,5.35,-0.74,605.47,1
S00368,2026-03-01,West,Road,Apparel,862.9,24.7,34.4,5.54,6.36,-0.81,421.65,1
S00369,2026-01-01,South,Road,Apparel,523.7,21.7,23.7,5.91,5.98,-0.07,251.42,1
S00370,2026-01-01,Central,Road,Grocery,133.4,22.4,26.2,3.35,4.38,-1.03,275.46,1
S00371,2026-12-01,West,Road,Grocery,131.1,47.1,58.1,3.19,4.39,-1.2,419.83,1
S00372,2026-01-01,South,Sea,Apparel,476.3,13.6,12.7,4.3,7.08,-2.78,197.3,1
S00373,2026-12-01,South,Road,Apparel,176.7,16.8,24.9,4.46,5.7,-1.24,232.0,1
S00374,2026-09-01,South,Air,Apparel,539.2,7.4,10.4,2.51,4.42,-1.91,177.92,1
S00375,2026-02-01,North,Sea,Apparel,574.0,9.3,13.0,5.37,7.34,-1.97,161.31,1
S00376,2026-11-01,North,Road,Electronics,223.8,14.3,20.1,4.12,3.88,0.24,228.5,0
S00377,2026-02-01,Central,Rail,Industrial,269.7,19.4,31.9,6.02,5.65,0.37,243.53,0
S00378,2026-02-01,East,Air,Grocery,486.2,63.4,78.2,2.9,3.79,-0.88,528.93,1
S00379,2026-07-01,South,Rail,Electronics,216.7,28.5,49.9,5.89,6.12,-0.22,249.39,1
S00380,2026-04-01,West,Road,Furniture,411.4,11.1,6.3,2.84,5.41,-2.57,109.95,1
S00381,2026-04-01,East,Road,Industrial,1406.4,12.5,16.1,7.41,7.55,-0.14,405.97,1
S00382,2026-03-01,Central,Road,Apparel,501.0,49.1,68.9,4.02,4.79,-0.77,366.82,1
S00383,2026-08-01,West,Road,Electronics,300.5,41.8,44.6,5.87,4.81,1.06,385.11,0
S00384,2026-01-01,East,Sea,Electronics,1265.5,20.5,16.4,7.64,9.5,-1.86,318.28,1
S00385,2026-03-01,South,Sea,Electronics,650.8,15.1,17.6,6.91,7.81,-0.9,187.13,1
S00386,2026-07-01,Central,Road,Furniture,180.0,41.7,38.0,4.52,3.15,1.37,336.93,0
S00387,2026-06-01,West,Rail,Industrial,206.5,10.5,17.6,4.76,4.73,0.02,146.05,0
S00388,2026-09-01,Central,Road,Electronics,96.9,25.9,23.3,1.58,2.81,-1.22,230.02,1
S00389,2026-03-01,North,Sea,Furniture,480.6,88.0,56.8,9.02,6.84,2.18,507.36,0
S00390,2026-08-01,Central,Road,Electronics,64.7,23.0,27.7,1.53,3.0,-1.47,227.51,1
S00391,2026-10-01,West,Sea,Grocery,1264.6,12.1,11.6,8.53,9.46,-0.93,178.27,1
S00392,2026-05-01,North,Air,Furniture,325.7,26.2,14.0,2.64,2.97,-0.33,240.01,1
S00393,2026-04-01,East,Road,Apparel,675.6,14.8,17.6,5.41,5.74,-0.33,267.16,1
S00394,2026-07-01,West,Road,Electronics,305.9,8.1,9.4,4.11,5.27,-1.16,161.2,1
S00395,2026-07-01,North,Air,Grocery,475.2,31.7,20.4,2.39,3.4,-1.01,391.32,1
S00396,2026-02-01,East,Road,Industrial,355.8,41.5,51.4,3.89,3.53,0.36,336.75,0
S00397,2026-07-01,Central,Road,Apparel,403.7,16.4,19.6,2.43,4.36,-1.93,297.21,1
S00398,2026-02-01,South,Sea,Electronics,806.3,15.7,23.3,10.33,8.55,1.78,229.14,0
S00399,2026-07-01,East,Rail,Electronics,1045.8,10.8,9.7,6.63,8.43,-1.8,250.55,1
S00400,2026-12-01,East,Road,Grocery,997.4,18.2,13.6,6.72,7.51,-0.8,348.66,1
S00401,2026-07-01,South,Road,Grocery,1800.0,13.9,24.1,8.38,8.82,-0.44,509.91,1
S00402,2026-10-01,Central,Road,Furniture,234.4,10.4,12.3,2.91,3.88,-0.97,188.46,1
S00403,2026-04-01,West,Sea,Furniture,505.0,68.7,30.1,5.93,6.42,-0.49,458.15,1
S00404,2026-12-01,North,Road,Industrial,238.4,27.2,42.1,1.62,5.02,-3.4,292.66,1
S00405,2026-10-01,Central,Road,Furniture,786.2,29.1,19.7,4.68,6.09,-1.41,293.54,1
S00406,2026-12-01,Central,Road,Apparel,186.8,35.7,53.5,2.71,4.09,-1.38,241.72,1
S00407,2026-09-01,South,Sea,Grocery,814.8,33.2,46.0,9.13,8.45,0.68,317.03,0
S00408,2026-08-01,Central,Road,Apparel,446.7,15.4,27.0,2.44,5.33,-2.89,232.81,1
S00409,2026-07-01,North,Air,Apparel,369.5,24.0,42.0,1.6,3.63,-2.03,349.42,1
S00410,2026-12-01,Central,Rail,Industrial,398.3,16.9,13.2,3.48,5.89,-2.4,200.95,1
S00411,2026-11-01,West,Air,Furniture,162.0,26.7,39.3,4.15,3.28,0.87,292.54,0
S00412,2026-06-01,West,Sea,Industrial,172.9,25.1,21.2,4.49,6.11,-1.61,169.14,1
S00413,2026-02-01,North,Air,Apparel,451.9,15.7,20.1,3.26,3.64,-0.38,301.56,1
S00414,2026-01-01,Central,Sea,Grocery,449.9,8.5,10.5,6.76,6.66,0.1,105.45,0
S00415,2026-03-01,North,Road,Grocery,246.3,22.1,10.5,3.4,4.19,-0.79,235.16,1
S00416,2026-01-01,South,Air,Electronics,323.3,17.6,7.2,1.38,3.62,-2.25,193.52,1
S00417,2026-03-01,North,Road,Apparel,532.3,5.9,2.8,2.67,5.65,-2.97,206.57,1
S00418,2026-02-01,West,Road,Grocery,215.8,27.9,16.2,5.17,5.63,-0.46,195.28,1
S00419,2026-12-01,South,Air,Electronics,87.0,37.6,28.6,0.87,2.77,-1.9,275.52,1
S00420,2026-02-01,Central,Sea,Industrial,943.0,103.9,173.5,7.41,7.49,-0.08,775.37,1
S00421,2026-08-01,West,Rail,Electronics,472.5,15.6,17.5,5.76,6.49,-0.73,213.94,1
S00422,2026-05-01,North,Road,Electronics,278.9,14.2,21.4,4.15,4.62,-0.47,142.38,1
S00423,2026-03-01,North,Road,Furniture,237.8,9.8,15.4,4.15,4.0,0.15,144.75,0
S00424,2026-09-01,North,Road,Electronics,214.2,23.0,32.9,2.33,5.14,-2.81,184.18,1
S00425,2026-12-01,East,Road,Industrial,784.3,22.9,21.7,4.16,6.29,-2.13,271.23,1
S00426,2026-10-01,West,Road,Furniture,140.8,11.9,19.1,4.78,4.86,-0.07,167.12,1
S00427,2026-12-01,South,Road,Electronics,504.2,17.9,25.8,4.41,6.78,-2.37,280.38,1
S00428,2026-08-01,Central,Road,Furniture,503.9,5.6,8.0,0.7,4.58,-3.88,207.1,1
S00429,2026-09-01,North,Air,Grocery,630.3,36.7,61.0,3.86,3.71,0.16,506.07,0
S00430,2026-02-01,West,Road,Furniture,298.1,12.2,15.1,3.03,4.4,-1.37,189.32,1
S00431,2026-11-01,Central,Sea,Industrial,894.9,19.6,22.4,7.37,7.4,-0.03,238.08,1
S00432,2026-09-01,West,Rail,Furniture,641.9,7.9,13.1,7.82,6.04,1.79,149.64,0
S00433,2026-04-01,West,Road,Grocery,291.1,13.8,14.3,4.33,5.38,-1.05,179.58,1
S00434,2026-05-01,Central,Road,Apparel,229.7,16.7,25.7,4.58,4.25,0.33,159.77,0
S00435,2026-08-01,North,Road,Furniture,356.5,19.9,9.5,4.08,4.45,-0.37,201.42,1
S00436,2026-01-01,South,Sea,Industrial,284.3,27.4,11.0,8.17,6.84,1.33,227.86,0
S00437,2026-10-01,North,Road,Grocery,202.7,51.2,58.3,2.14,4.54,-2.41,376.42,1
S00438,2026-04-01,East,Road,Furniture,410.1,32.3,16.3,4.33,4.47,-0.14,408.82,1
S00439,2026-01-01,West,Sea,Apparel,324.8,37.5,66.3,6.84,6.8,0.04,267.89,0
S00440,2026-04-01,West,Sea,Furniture,1024.7,51.4,21.0,7.71,9.0,-1.29,395.72,1
S00441,2026-11-01,Central,Road,Industrial,283.9,29.1,40.9,4.93,3.3,1.63,232.83,0
S00442,2026-04-01,North,Road,Electronics,228.2,19.6,14.5,2.99,4.58,-1.58,196.65,1
S00443,2026-07-01,West,Road,Electronics,392.7,38.7,67.9,7.18,4.45,2.72,353.64,0
S00444,2026-10-01,South,Road,Grocery,462.9,40.3,37.7,7.74,5.73,2.01,392.71,0
S00445,2026-01-01,South,Road,Grocery,486.0,30.6,13.4,5.5,5.27,0.23,289.59,0
S00446,2026-10-01,West,Rail,Grocery,483.0,7.8,3.4,6.33,7.06,-0.72,154.88,1
S00447,2026-04-01,Central,Sea,Electronics,401.6,11.6,13.7,6.91,5.54,1.37,150.02,0
S00448,2026-09-01,West,Road,Apparel,382.5,16.8,29.9,3.08,4.44,-1.36,187.85,1
S00449,2026-03-01,North,Rail,Grocery,576.0,33.3,59.1,3.66,6.07,-2.41,305.79,1
S00450,2026-02-01,West,Road,Grocery,188.9,19.8,17.3,5.6,4.52,1.08,192.74,0
S00451,2026-10-01,North,Air,Furniture,229.4,42.1,45.2,2.28,1.88,0.39,370.09,0
S00452,2026-10-01,Central,Rail,Furniture,112.8,47.2,25.5,3.53,4.78,-1.25,333.81,1
S00453,2026-12-01,West,Air,Furniture,191.3,43.8,49.5,2.45,2.14,0.31,357.99,0
S00454,2026-09-01,North,Sea,Furniture,737.6,44.0,54.5,3.57,6.73,-3.16,359.68,1
S00455,2026-06-01,North,Road,Grocery,560.8,10.2,7.7,4.22,4.87,-0.65,162.55,1
S00456,2026-03-01,South,Road,Grocery,1107.2,27.5,34.6,5.93,7.98,-2.04,437.79,1
S00457,2026-04-01,Central,Road,Grocery,951.4,13.5,22.5,6.49,6.69,-0.2,294.63,1
S00458,2026-08-01,East,Road,Electronics,563.8,6.9,2.8,6.01,6.02,-0.01,230.65,1
S00459,2026-05-01,West,Sea,Apparel,431.6,16.7,12.0,7.02,6.92,0.1,235.02,0
S00460,2026-06-01,West,Road,Grocery,397.7,47.5,33.0,5.1,4.09,1.01,373.57,0
S00461,2026-03-01,East,Air,Industrial,60.8,27.1,15.5,0.7,2.66,-1.96,187.5,1
S00462,2026-06-01,North,Road,Furniture,368.9,74.6,47.2,4.66,5.36,-0.7,506.7,1
S00463,2026-03-01,Central,Road,Electronics,259.6,22.5,28.8,4.21,4.74,-0.53,251.92,1
S00464,2026-02-01,South,Road,Grocery,197.9,98.6,53.6,5.91,5.28,0.63,578.49,0
S00465,2026-02-01,East,Rail,Apparel,508.1,22.5,32.3,8.06,5.52,2.54,232.65,0
S00466,2026-07-01,West,Rail,Furniture,339.5,20.4,33.5,3.13,5.68,-2.55,244.42,1
S00467,2026-05-01,West,Road,Industrial,414.0,8.7,14.8,4.16,6.32,-2.15,212.42,1
S00468,2026-02-01,Central,Road,Grocery,176.2,41.3,54.7,2.26,3.18,-0.92,316.7,1
S00469,2026-07-01,North,Rail,Grocery,659.1,14.5,9.8,5.75,5.66,0.09,158.23,0
S00470,2026-02-01,East,Road,Apparel,283.0,13.2,6.9,4.0,5.16,-1.15,201.4,1
S00471,2026-01-01,South,Sea,Apparel,491.0,46.2,33.5,6.47,7.25,-0.78,315.89,1
S00472,2026-02-01,East,Road,Industrial,300.0,42.6,74.5,5.32,4.14,1.18,379.26,0
S00473,2026-06-01,North,Road,Furniture,50.2,41.9,73.3,1.66,4.5,-2.84,327.92,1
S00474,2026-12-01,North,Road,Grocery,521.2,15.9,14.8,3.05,5.28,-2.23,180.26,1
S00475,2026-03-01,South,Road,Apparel,354.8,19.4,16.6,3.51,5.29,-1.79,236.61,1
S00476,2026-04-01,South,Road,Electronics,106.1,19.3,21.5,3.64,4.22,-0.58,210.18,1
S00477,2026-03-01,East,Road,Electronics,159.8,33.4,27.0,2.11,5.37,-3.26,291.62,1
S00478,2026-05-01,West,Sea,Electronics,671.1,55.1,97.7,6.9,7.65,-0.75,449.84,1
S00479,2026-09-01,West,Road,Apparel,110.7,25.5,18.1,3.6,5.21,-1.61,149.13,1
S00480,2026-04-01,South,Road,Industrial,277.7,72.5,66.5,3.59,5.72,-2.13,540.83,1
S00481,2026-08-01,South,Road,Grocery,1165.5,36.0,36.0,8.13,7.48,0.65,483.14,0
S00482,2026-11-01,South,Road,Apparel,529.8,17.2,9.9,5.2,5.72,-0.52,208.28,1
S00483,2026-12-01,East,Rail,Electronics,614.4,34.4,32.2,7.03,7.13,-0.09,290.05,1
S00484,2026-07-01,South,Road,Apparel,319.6,60.9,97.4,4.44,6.12,-1.68,482.6,1
S00485,2026-09-01,North,Rail,Furniture,98.0,73.6,43.9,3.94,3.73,0.21,468.95,0
S00486,2026-12-01,South,Road,Apparel,440.3,43.4,52.9,4.32,6.0,-1.68,367.36,1
S00487,2026-10-01,East,Sea,Furniture,168.8,20.4,19.8,5.26,5.91,-0.65,219.32,1
S00488,2026-04-01,South,Road,Furniture,156.0,17.4,11.1,5.12,4.42,0.71,122.21,0
S00489,2026-02-01,East,Air,Electronics,407.7,29.2,12.2,2.22,3.56,-1.35,306.2,1
S00490,2026-02-01,East,Road,Grocery,178.3,59.6,46.7,4.34,3.72,0.62,333.16,0
S00491,2026-11-01,West,Road,Industrial,377.3,26.6,13.0,3.53,5.01,-1.48,236.05,1
S00492,2026-07-01,West,Air,Apparel,235.1,27.0,25.0,3.5,2.85,0.65,339.18,0
S00493,2026-04-01,West,Rail,Electronics,368.6,20.8,31.9,4.6,5.77,-1.17,300.51,1
S00494,2026-05-01,South,Air,Industrial,265.1,16.2,22.8,4.0,3.6,0.4,254.27,0
S00495,2026-04-01,West,Road,Industrial,375.5,18.1,31.2,4.62,4.74,-0.12,219.99,1
S00496,2026-10-01,East,Rail,Grocery,904.0,21.9,21.9,8.41,8.0,0.41,278.25,0
S00497,2026-08-01,East,Air,Grocery,623.1,61.4,85.3,1.89,4.28,-2.39,628.58,1
S00498,2026-11-01,West,Rail,Electronics,347.9,17.2,22.9,3.42,6.86,-3.44,148.63,1
S00499,2026-04-01,South,Road,Furniture,817.7,20.8,14.6,5.3,6.69,-1.39,301.65,1
S00500,2026-06-01,East,Rail,Grocery,495.6,11.4,9.4,3.65,5.8,-2.16,234.11,1
S00501,2026-02-01,West,Rail,Electronics,783.6,32.0,36.5,4.75,8.06,-3.31,292.27,1
S00502,2026-12-01,Central,Sea,Furniture,121.6,48.8,74.0,5.41,5.05,0.37,328.86,0
S00503,2026-07-01,Central,Road,Industrial,179.9,57.7,60.4,3.19,3.81,-0.62,407.99,1
S00504,2026-07-01,East,Road,Industrial,437.0,22.9,16.5,3.81,5.47,-1.66,274.08,1
S00505,2026-05-01,East,Air,Apparel,342.1,29.2,52.2,2.07,2.63,-0.56,329.44,1
S00506,2026-04-01,West,Road,Electronics,376.1,18.2,10.2,3.8,5.6,-1.8,229.85,1
S00507,2026-12-01,South,Air,Industrial,547.6,28.3,49.2,5.78,4.71,1.07,432.99,0
S00508,2026-06-01,Central,Road,Industrial,439.9,24.6,37.8,3.0,5.26,-2.25,356.99,1
S00509,2026-09-01,East,Road,Grocery,660.5,20.9,32.8,3.38,6.18,-2.8,302.99,1
S00510,2026-01-01,North,Air,Furniture,649.4,22.0,33.2,4.1,4.45,-0.35,402.73,1
S00511,2026-04-01,North,Road,Grocery,186.5,26.9,18.6,3.15,4.06,-0.91,292.26,1
S00512,2026-10-01,Central,Road,Apparel,52.1,16.6,21.3,5.39,3.11,2.28,150.81,0
S00513,2026-02-01,North,Rail,Electronics,177.3,17.2,25.0,3.53,5.95,-2.41,139.42,1
S00514,2026-02-01,South,Air,Electronics,168.5,60.9,88.0,3.73,2.6,1.12,473.53,0
S00515,2026-10-01,South,Air,Apparel,395.1,117.0,91.3,4.65,3.28,1.37,830.46,0
S00516,2026-04-01,North,Road,Industrial,391.8,9.2,6.0,3.34,4.97,-1.63,198.97,1
S00517,2026-04-01,South,Road,Electronics,328.2,8.9,7.6,3.78,6.22,-2.44,171.25,1
S00518,2026-07-01,West,Sea,Apparel,507.8,10.8,11.6,7.44,7.31,0.13,117.62,0
S00519,2026-03-01,North,Road,Grocery,1478.2,18.8,22.6,7.72,8.21,-0.48,435.5,1
S00520,2026-01-01,Central,Road,Electronics,323.3,36.0,56.5,1.83,3.3,-1.47,375.53,1
S00521,2026-01-01,Central,Road,Electronics,448.9,29.5,43.6,2.54,4.4,-1.86,273.02,1
S00522,2026-01-01,South,Road,Grocery,376.0,22.5,30.2,1.67,4.61,-2.93,252.88,1
S00523,2026-02-01,North,Air,Apparel,248.3,28.3,21.8,2.73,3.08,-0.35,280.69,1
S00524,2026-09-01,East,Air,Grocery,550.8,12.8,13.7,2.8,3.06,-0.25,291.96,1
S00525,2026-04-01,North,Rail,Industrial,312.4,17.1,14.9,4.36,4.63,-0.26,201.84,1
S00526,2026-01-01,South,Road,Electronics,211.1,19.8,14.5,2.27,5.34,-3.07,223.57,1
S00527,2026-01-01,Central,Road,Industrial,223.1,7.2,3.0,1.95,4.55,-2.6,159.81,1
S00528,2026-06-01,Central,Road,Industrial,675.3,9.4,8.3,3.98,5.2,-1.22,206.05,1
S00529,2026-11-01,West,Road,Industrial,542.2,9.7,7.3,4.17,5.99,-1.83,159.1,1
S00530,2026-05-01,South,Road,Grocery,268.5,33.0,39.6,4.69,5.51,-0.82,305.76,1
S00531,2026-01-01,West,Road,Grocery,502.5,23.6,11.5,5.63,5.49,0.14,257.37,0
